# 2024/03/09 - 07:21 | PDB: 10.24 | UniProt: 2024.02
PDB,CHAIN,ACCESSION,EC_NUMBER
1a8k,A,P03367,3.1.-.-
1a8k,A,P03367,3.1.13.2
1a8k,A,P03367,3.1.26.13
1a8k,A,P03367,3.4.23.16
1a8k,B,P03367,2.7.7.-
1a8k,B,P03367,2.7.7.49
1a8k,B,P03367,2.7.7.7
1a8k,B,P03367,3.1.-.-
1a8k,B,P03367,3.1.13.2
1a8k,B,P03367,3.1.26.13
1a8k,B,P03367,3.4.23.16
1a8k,D,P03367,2.7.7.-
1a8k,D,P03367,2.7.7.49
1a8k,D,P03367,2.7.7.7
1a8k,D,P03367,3.1.-.-
1a8k,D,P03367,3.1.13.2
1a8k,D,P03367,3.1.26.13
1a8k,D,P03367,3.4.23.16
1a8k,E,P03367,2.7.7.-
1a8k,E,P03367,2.7.7.49
1a8k,E,P03367,2.7.7.7
1a8k,E,P03367,3.1.-.-
1a8k,E,P03367,3.1.13.2
1a8k,E,P03367,3.1.26.13
1a8k,E,P03367,3.4.23.16
1a8l,A,Q51760,?
1a8m,A,P01375,?
1a8m,B,P01375,?
1a8m,C,P01375,?
1a8o,A,P12497,2.7.7.-
1a8o,A,P12497,2.7.7.49
1a8o,A,P12497,2.7.7.7
1a8o,A,P12497,3.1.-.-
1a8o,A,P12497,3.1.13.2
1a8o,A,P12497,3.1.26.13
1a8o,A,P12497,3.4.23.16
1a8p,A,Q44532,1.18.1.2
1a8q,A,P33912,1.11.1.-
1a8r,A,P0A6T5,3.5.4.16
1a8r,B,P0A6T5,3.5.4.16
1a8r,C,P0A6T5,3.5.4.16
1a8r,D,P0A6T5,3.5.4.16
1a8r,E,P0A6T5,3.5.4.16
1a8r,F,P0A6T5,3.5.4.16
1a8r,G,P0A6T5,3.5.4.16
1a8r,H,P0A6T5,3.5.4.16
1a8r,I,P0A6T5,3.5.4.16
1a8r,J,P0A6T5,3.5.4.16
1a8r,K,P0A6T5,3.5.4.16
1a8r,L,P0A6T5,3.5.4.16
1a8r,M,P0A6T5,3.5.4.16
1a8r,N,P0A6T5,3.5.4.16
1a8r,O,P0A6T5,3.5.4.16
1a8s,A,O31158,1.11.1.-
1a8t,A,P25910,3.5.2.6
1a8t,B,P25910,3.5.2.6
1a8u,A,O31168,1.11.1.-
1a8u,B,O31168,1.11.1.-
1a8v,A,P0AG30,3.6.4.-
1a8v,B,P0AG30,3.6.4.-
1a8y,A,P07221,?
1a8z,A,P0C918,?
1a90,A,P01038,?
1a91,A,P68699,3.6.1.34
1a92,A,P25989,?
1a92,B,P25989,?
1a92,C,P25989,?
1a92,D,P25989,?
1a93,A,P01106,?
1a93,B,P28574,?
1a94,A,P03367,2.7.7.-
1a94,A,P03367,2.7.7.49
1a94,A,P03367,2.7.7.7
1a94,A,P03367,3.1.-.-
1a94,A,P03367,3.1.13.2
1a94,A,P03367,3.1.26.13
1a94,A,P03367,3.4.23.16
1a94,B,P03367,2.7.7.-
1a94,B,P03367,2.7.7.49
1a94,B,P03367,2.7.7.7
1a94,B,P03367,3.1.-.-
1a94,B,P03367,3.1.13.2
1a94,B,P03367,3.1.26.13
1a94,B,P03367,3.4.23.16
1a94,D,P03367,2.7.7.-
1a94,D,P03367,2.7.7.49
1a94,D,P03367,2.7.7.7
1a94,D,P03367,3.1.-.-
1a94,D,P03367,3.1.13.2
1a94,D,P03367,3.1.26.13
1a94,D,P03367,3.4.23.16
1a94,E,P03367,2.7.7.-
1a94,E,P03367,2.7.7.49
1a94,E,P03367,2.7.7.7
1a94,E,P03367,3.1.-.-
1a94,E,P03367,3.1.13.2
1a94,E,P03367,3.1.26.13
1a94,E,P03367,3.4.23.16
1a95,A,P0A9M5,2.4.2.-
1a95,A,P0A9M5,2.4.2.22
1a95,B,P0A9M5,2.4.2.-
1a95,B,P0A9M5,2.4.2.22
1a95,C,P0A9M5,2.4.2.-
1a95,C,P0A9M5,2.4.2.22
1a95,D,P0A9M5,2.4.2.-
1a95,D,P0A9M5,2.4.2.22
1a96,A,P0A9M5,2.4.2.-
1a96,A,P0A9M5,2.4.2.22
1a96,B,P0A9M5,2.4.2.-
1a96,B,P0A9M5,2.4.2.22
1a96,C,P0A9M5,2.4.2.-
1a96,C,P0A9M5,2.4.2.22
1a96,D,P0A9M5,2.4.2.-
1a96,D,P0A9M5,2.4.2.22
1a97,A,P0A9M5,2.4.2.-
1a97,A,P0A9M5,2.4.2.22
1a97,B,P0A9M5,2.4.2.-
1a97,B,P0A9M5,2.4.2.22
1a97,C,P0A9M5,2.4.2.-
1a97,C,P0A9M5,2.4.2.22
1a97,D,P0A9M5,2.4.2.-
1a97,D,P0A9M5,2.4.2.22
1a98,A,P0A9M5,2.4.2.-
1a98,A,P0A9M5,2.4.2.22
1a98,B,P0A9M5,2.4.2.-
1a98,B,P0A9M5,2.4.2.22
1a99,A,P31133,?
1a99,B,P31133,?
1a99,C,P31133,?
1a99,D,P31133,?
1a9b,A,P01889,?
1a9b,B,P61769,?
1a9b,D,P01889,?
1a9b,E,P61769,?
1a9c,A,P0A6T5,3.5.4.16
1a9c,B,P0A6T5,3.5.4.16
1a9c,C,P0A6T5,3.5.4.16
1a9c,D,P0A6T5,3.5.4.16
1a9c,E,P0A6T5,3.5.4.16
1a9c,F,P0A6T5,3.5.4.16
1a9c,G,P0A6T5,3.5.4.16
1a9c,H,P0A6T5,3.5.4.16
1a9c,I,P0A6T5,3.5.4.16
1a9c,J,P0A6T5,3.5.4.16
1a9c,K,P0A6T5,3.5.4.16
1a9c,L,P0A6T5,3.5.4.16
1a9c,M,P0A6T5,3.5.4.16
1a9c,N,P0A6T5,3.5.4.16
1a9c,O,P0A6T5,3.5.4.16
1a9e,A,P01889,?
1a9e,B,P61769,?
1a9m,A,P03366,2.7.7.-
1a9m,A,P03366,2.7.7.49
1a9m,A,P03366,2.7.7.7
1a9m,A,P03366,3.1.-.-
1a9m,A,P03366,3.1.13.2
1a9m,A,P03366,3.1.26.13
1a9m,A,P03366,3.4.23.16
1a9m,B,P03366,2.7.7.-
1a9m,B,P03366,2.7.7.49
1a9m,B,P03366,2.7.7.7
1a9m,B,P03366,3.1.-.-
1a9m,B,P03366,3.1.13.2
1a9m,B,P03366,3.1.26.13
1a9m,B,P03366,3.4.23.16
1a9n,A,P09661,?
1a9n,B,P08579,?
1a9n,C,P09661,?
1a9n,D,P08579,?
1a9o,A,P55859,2.4.2.1
1a9p,A,P55859,2.4.2.1
1a9q,A,P55859,2.4.2.1
1a9r,A,P55859,2.4.2.1
1a9s,A,P55859,2.4.2.1
1a9t,A,P55859,2.4.2.1
1a9u,A,Q16539,2.7.11.24
1a9v,A,P49278,?
1a9w,A,P69905,?
1a9w,C,P69905,?
1a9w,E,P02100,?
1a9w,F,P02100,?
1a9x,A,P00968,6.3.4.16
1a9x,A,P00968,6.3.5.5
1a9x,B,P0A6F1,6.3.5.5
1a9x,C,P00968,6.3.4.16
1a9x,C,P00968,6.3.5.5
1a9x,D,P0A6F1,6.3.5.5
1a9x,E,P00968,6.3.4.16
1a9x,E,P00968,6.3.5.5
1a9x,F,P0A6F1,6.3.5.5
1a9x,G,P00968,6.3.4.16
1a9x,G,P00968,6.3.5.5
1a9x,H,P0A6F1,6.3.5.5
1a9y,A,P09147,5.1.3.2
1a9z,A,P09147,5.1.3.2
1aa0,A,P10104,?
1aa1,B,P00875,4.1.1.39
1aa1,C,Q43832,4.1.1.39
1aa1,E,P00875,4.1.1.39
1aa1,F,Q43832,4.1.1.39
1aa1,H,P00875,4.1.1.39
1aa1,I,Q43832,4.1.1.39
1aa1,L,P00875,4.1.1.39
1aa1,S,Q43832,4.1.1.39
1aa2,A,Q01082,?
1aa3,A,P0A7G6,?
1aa4,A,P00431,1.11.1.5
1aa6,A,P07658,1.17.98.4
1aa7,A,P03485,?
1aa7,B,P03485,?
1aa9,A,P01112,3.6.5.2
1aab,A,P63159,?
1aac,A,P22364,?
1aaf,A,P05961,2.7.7.-
1aaf,A,P05961,2.7.7.49
1aaf,A,P05961,2.7.7.7
1aaf,A,P05961,3.1.-.-
1aaf,A,P05961,3.1.13.2
1aaf,A,P05961,3.1.26.13
1aaf,A,P05961,3.4.23.16
1aaj,A,P22364,?
1aal,A,P00974,?
1aal,B,P00974,?
1aam,A,P00509,2.6.1.1
1aan,A,P22364,?
1aap,A,P05067,?
1aap,B,P05067,?
1aaq,A,P03367,2.7.7.-
1aaq,A,P03367,2.7.7.49
1aaq,A,P03367,2.7.7.7
1aaq,A,P03367,3.1.-.-
1aaq,A,P03367,3.1.13.2
1aaq,A,P03367,3.1.26.13
1aaq,A,P03367,3.4.23.16
1aaq,B,P03367,2.7.7.-
1aaq,B,P03367,2.7.7.49
1aaq,B,P03367,2.7.7.7
1aaq,B,P03367,3.1.-.-
1aaq,B,P03367,3.1.13.2
1aaq,B,P03367,3.1.26.13
1aaq,B,P03367,3.4.23.16
1aar,A,P0CH28,?
1aar,B,P0CH28,?
1aat,A,P00504,2.6.1.1
1aat,A,P00504,2.6.1.3
1aat,B,P00504,2.6.1.1
1aat,B,P00504,2.6.1.3
1aaw,A,P00509,2.6.1.1
1aax,A,P18031,3.1.3.48
1aay,A,P08046,?
1aaz,A,P00276,?
1aaz,B,P00276,?
1ab0,A,P04117,?
1ab1,A,P01542,?
1ab2,A,P00519,2.7.10.2
1ab3,A,P80378,?
1ab4,A,P0AES4,5.6.2.2
1ab5,A,P0AE67,?
1ab5,B,P0AE67,?
1ab6,A,P0AE67,?
1ab6,B,P0AE67,?
1ab7,A,P11540,?
1ab8,A,P26769,4.6.1.1
1ab8,B,P26769,4.6.1.1
1ab9,A,P00766,3.4.21.1
1ab9,B,P00766,3.4.21.1
1ab9,C,P00766,3.4.21.1
1aba,A,P00276,?
1abb,A,P00489,2.4.1.1
1abb,B,P00489,2.4.1.1
1abb,C,P00489,2.4.1.1
1abb,D,P00489,2.4.1.1
1abe,A,P02924,?
1abf,A,P02924,?
1abi,H,P00734,3.4.21.5
1abi,I,P28504,?
1abi,L,P00734,3.4.21.5
1abj,H,P00734,3.4.21.5
1abj,L,P00734,3.4.21.5
1abn,A,P15121,1.1.1.21
1abn,A,P15121,1.1.1.300
1abn,A,P15121,1.1.1.372
1abn,A,P15121,1.1.1.54
1abo,A,P00520,2.7.10.2
1abo,B,P00520,2.7.10.2
1abo,C,P55194,?
1abo,D,P55194,?
1abq,A,P00520,2.7.10.2
1abr,A,P11140,3.2.2.22
1abr,B,P11140,3.2.2.22
1abs,A,P02185,?
1abt,A,P60615,?
1abt,B,P02710,?
1abv,A,P0ABA4,3.6.1.34
1abw,A,P69905,?
1abw,B,P68871,?
1abw,D,P68871,?
1aby,A,P69905,?
1aby,B,P68871,?
1aby,D,P68871,?
1ac0,A,P69328,3.2.1.3
1ac1,A,P0AEG4,?
1ac1,B,P0AEG4,?
1ac4,A,P00431,1.11.1.5
1ac5,A,P09620,3.4.16.6
1ac6,A,Q5R1F5,?
1ac6,B,Q5R1F5,?
1ac8,A,P00431,1.11.1.5
1aca,A,P07107,?
1acb,E,P00766,3.4.21.1
1acb,I,P01051,?
1acc,A,P13423,?
1acd,A,P04117,?
1acf,A,Q95VF7,?
1aci,A,P56210,?
1acj,A,P04058,3.1.1.7
1acl,A,P04058,3.1.1.7
1acm,A,P0A786,2.1.3.2
1acm,B,P0A7F3,?
1acm,C,P0A786,2.1.3.2
1acm,D,P0A7F3,?
1aco,A,P20004,4.2.1.3
1acp,A,P0A6A8,?
1acv,A,P0AEG4,?
1acv,B,P0AEG4,?
1acw,A,P56215,?
1acx,A,P01551,?
1acy,H,P01869,?
1acy,P,P05877,?
1acz,A,P69328,3.2.1.3
1ad1,A,O05701,2.5.1.15
1ad1,B,O05701,2.5.1.15
1ad2,A,P27150,?
1ad3,A,P11883,1.2.1.5
1ad3,B,P11883,1.2.1.5
1ad4,A,O05701,2.5.1.15
1ad4,B,O05701,2.5.1.15
1ad5,A,P08631,2.7.10.2
1ad5,B,P08631,2.7.10.2
1ad6,A,P06400,?
1ad7,A,P07231,?
1ad8,H,P00734,3.4.21.5
1ad8,I,P01050,?
1ad8,L,P00734,3.4.21.5
1adb,A,P00327,1.1.1.1
1adb,B,P00327,1.1.1.1
1adc,A,P00327,1.1.1.1
1adc,B,P00327,1.1.1.1
1add,A,P03958,3.5.4.4
1ade,A,P0A7D4,6.3.4.4
1ade,B,P0A7D4,6.3.4.4
1adf,A,P00327,1.1.1.1
1adg,A,P00327,1.1.1.1
1adi,A,P0A7D4,6.3.4.4
1adi,B,P0A7D4,6.3.4.4
1adj,A,P56194,6.1.1.21
1adj,B,P56194,6.1.1.21
1adj,C,P56194,6.1.1.21
1adj,D,P56194,6.1.1.21
1adl,A,P04117,?
1adn,A,P06134,2.1.1.63
1adn,A,P06134,2.1.1.n11
1ado,A,P00883,4.1.2.13
1ado,B,P00883,4.1.2.13
1ado,C,P00883,4.1.2.13
1ado,D,P00883,4.1.2.13
1adq,A,P01861,?
1adr,A,P69202,?
1ads,A,P15121,1.1.1.21
1ads,A,P15121,1.1.1.300
1ads,A,P15121,1.1.1.372
1ads,A,P15121,1.1.1.54
1adu,A,P03265,?
1adu,B,P03265,?
1adv,A,P03265,?
1adv,B,P03265,?
1adw,A,P80401,?
1adw,B,P80401,?
1adx,A,P07204,?
1ady,A,P56194,6.1.1.21
1ady,B,P56194,6.1.1.21
1ady,C,P56194,6.1.1.21
1ady,D,P56194,6.1.1.21
1adz,A,P10646,?
1ae1,A,P50162,1.1.1.206
1ae1,B,P50162,1.1.1.206
1ae2,A,P69543,?
1ae3,A,P69543,?
1ae4,A,P50578,1.1.1.19
1ae4,A,P50578,1.1.1.2
1ae4,A,P50578,1.1.1.20
1ae4,A,P50578,1.1.1.372
1ae4,A,P50578,1.1.1.54
1ae5,A,P20160,?
1ae6,H,Q99LC4,?
1ae7,A,P00608,3.1.1.4
1ae8,H,P00734,3.4.21.5
1ae8,I,P01050,?
1ae8,L,P00734,3.4.21.5
1ae9,A,P03700,2.7.7.-
1ae9,A,P03700,3.1.-.-
1ae9,B,P03700,2.7.7.-
1ae9,B,P03700,3.1.-.-
1aeb,A,P00431,1.11.1.5
1aec,A,P00785,3.4.22.14
1aed,A,P00431,1.11.1.5
1aee,A,P00431,1.11.1.5
1aef,A,P00431,1.11.1.5
1aeg,A,P00431,1.11.1.5
1aeh,A,P00431,1.11.1.5
1aei,A,P26256,?
1aei,B,P26256,?
1aei,C,P26256,?
1aei,D,P26256,?
1aei,E,P26256,?
1aei,F,P26256,?
1aej,A,P00431,1.11.1.5
1aek,A,P00431,1.11.1.5
1ael,A,P02693,?
1aem,A,P00431,1.11.1.5
1aen,A,P00431,1.11.1.5
1aeo,A,P00431,1.11.1.5
1aep,A,P10762,?
1aeq,A,P00431,1.11.1.5
1aer,A,P11439,2.4.2.36
1aer,B,P11439,2.4.2.36
1aes,A,P00431,1.11.1.5
1aet,A,P00431,1.11.1.5
1aeu,A,P00431,1.11.1.5
1aev,A,P00431,1.11.1.5
1aew,A,P02791,?
1aex,A,P00644,3.1.31.1
1aey,A,P07751,?
1af0,A,P23694,3.4.24.40
1af2,A,P0ABF6,3.5.4.5
1af3,A,P53563,?
1af4,A,P00780,3.4.21.62
1af5,A,P05725,3.1.-.-
1af6,A,P02943,?
1af6,B,P02943,?
1af6,C,P02943,?
1af7,A,P07801,2.1.1.80
1af8,A,Q02054,?
1af9,A,P04958,3.4.24.68
1afa,1,P19999,?
1afa,2,P19999,?
1afa,3,P19999,?
1afb,1,P19999,?
1afb,2,P19999,?
1afb,3,P19999,?
1afc,A,P03968,?
1afc,B,P03968,?
1afc,C,P03968,?
1afc,D,P03968,?
1afc,E,P03968,?
1afc,F,P03968,?
1afc,G,P03968,?
1afc,H,P03968,?
1afd,1,P19999,?
1afd,2,P19999,?
1afd,3,P19999,?
1afe,H,P00734,3.4.21.5
1afe,I,P01050,?
1afe,L,P00734,3.4.21.5
1afh,A,P19656,?
1afi,A,P04129,?
1afj,A,P04129,?
1afk,A,P61823,4.6.1.18
1afk,B,P61823,4.6.1.18
1afl,A,P61823,4.6.1.18
1afl,B,P61823,4.6.1.18
1afo,A,P02724,?
1afo,B,P02724,?
1afp,A,P17737,?
1afq,A,P00766,3.4.21.1
1afq,B,P00766,3.4.21.1
1afq,C,P00766,3.4.21.1
1afr,A,P22337,1.14.19.2
1afr,B,P22337,1.14.19.2
1afr,C,P22337,1.14.19.2
1afr,D,P22337,1.14.19.2
1afr,E,P22337,1.14.19.2
1afr,F,P22337,1.14.19.2
1afs,A,P23457,1.1.1.50
1afs,B,P23457,1.1.1.50
1aft,A,P11157,1.17.4.1
1afu,A,P61823,4.6.1.18
1afu,B,P61823,4.6.1.18
1afv,A,P12497,2.7.7.-
1afv,A,P12497,2.7.7.49
1afv,A,P12497,2.7.7.7
1afv,A,P12497,3.1.-.-
1afv,A,P12497,3.1.13.2
1afv,A,P12497,3.1.26.13
1afv,A,P12497,3.4.23.16
1afv,B,P12497,2.7.7.-
1afv,B,P12497,2.7.7.49
1afv,B,P12497,2.7.7.7
1afv,B,P12497,3.1.-.-
1afv,B,P12497,3.1.13.2
1afv,B,P12497,3.1.26.13
1afv,B,P12497,3.4.23.16
1afv,H,Q99LC4,?
1afv,K,Q99LC4,?
1afw,A,P27796,2.3.1.16
1afw,B,P27796,2.3.1.16
1ag0,A,P00282,?
1ag0,B,P00282,?
1ag1,O,P04789,5.3.1.1
1ag1,T,P04789,5.3.1.1
1ag2,A,P04925,?
1ag4,A,P09353,?
1ag6,A,P00289,?
1ag7,A,P15472,?
1ag8,A,P20000,1.2.1.3
1ag8,B,P20000,1.2.1.3
1ag8,C,P20000,1.2.1.3
1ag8,D,P20000,1.2.1.3
1ag9,A,P61949,?
1ag9,B,P61949,?
1agb,A,P01889,?
1agb,B,P61769,?
1agc,A,P01889,?
1agc,B,P61769,?
1agd,A,P01889,?
1agd,B,P61769,?
1age,A,P01889,?
1age,B,P61769,?
1agf,A,P01889,?
1agf,B,P61769,?
1agg,A,P37045,?
1agi,A,P10152,3.1.27.-
1agj,A,P09331,3.4.21.-
1agj,B,P09331,3.4.21.-
1agm,A,P69327,3.2.1.3
1agn,A,P40394,1.1.1.1
1agn,A,P40394,1.1.1.105
1agn,A,P40394,1.1.1.66
1agn,B,P40394,1.1.1.1
1agn,B,P40394,1.1.1.105
1agn,B,P40394,1.1.1.66
1agn,C,P40394,1.1.1.1
1agn,C,P40394,1.1.1.105
1agn,C,P40394,1.1.1.66
1agn,D,P40394,1.1.1.1
1agn,D,P40394,1.1.1.105
1agn,D,P40394,1.1.1.66
1agp,A,P01112,3.6.5.2
1agq,A,Q07731,?
1agq,B,Q07731,?
1agq,C,Q07731,?
1agq,D,Q07731,?
1agr,A,P10824,?
1agr,D,P10824,?
1agr,E,P49799,?
1agr,H,P49799,?
1ags,A,P09210,2.5.1.18
1ags,B,P09210,2.5.1.18
1agt,A,P46111,?
1agw,A,P11362,2.7.10.1
1agw,B,P11362,2.7.10.1
1agx,A,P10172,3.5.1.38
1agy,A,P00590,3.1.1.74
1ah0,A,P80276,1.1.1.21
1ah0,A,P80276,1.1.1.300
1ah0,A,P80276,1.1.1.372
1ah0,A,P80276,1.1.1.54
1ah1,A,P16410,?
1ah2,A,P27693,3.4.21.-
1ah3,A,P80276,1.1.1.21
1ah3,A,P80276,1.1.1.300
1ah3,A,P80276,1.1.1.372
1ah3,A,P80276,1.1.1.54
1ah4,A,P80276,1.1.1.21
1ah4,A,P80276,1.1.1.300
1ah4,A,P80276,1.1.1.372
1ah4,A,P80276,1.1.1.54
1ah5,A,P06983,2.5.1.61
1ah6,A,P02829,?
1ah7,A,P09598,3.1.4.3
1ah8,A,P02829,?
1ah8,B,P02829,?
1ah9,A,P69222,?
1aha,A,P16094,3.2.2.22
1ahb,A,P16094,3.2.2.22
1ahc,A,P16094,3.2.2.22
1ahd,P,Q24645,?
1ahe,A,P00509,2.6.1.1
1ahe,B,P00509,2.6.1.1
1ahf,A,P00509,2.6.1.1
1ahf,B,P00509,2.6.1.1
1ahg,A,P00509,2.6.1.1
1ahg,B,P00509,2.6.1.1
1ahh,A,P0AET8,1.1.1.159
1ahh,B,P0AET8,1.1.1.159
1ahi,A,P0AET8,1.1.1.159
1ahi,B,P0AET8,1.1.1.159
1ahj,A,P13448,4.2.1.84
1ahj,B,P13449,4.2.1.84
1ahj,C,P13448,4.2.1.84
1ahj,D,P13449,4.2.1.84
1ahj,E,P13448,4.2.1.84
1ahj,F,P13449,4.2.1.84
1ahj,G,P13448,4.2.1.84
1ahj,H,P13449,4.2.1.84
1ahk,A,Q00855,?
1ahl,A,P01530,?
1ahm,A,Q00855,?
1ahn,A,P61949,?
1aho,A,P01484,?
1ahp,A,P00490,2.4.1.1
1ahp,B,P00490,2.4.1.1
1ahq,A,P37167,?
1ahr,A,P62149,?
1ahs,A,P36325,?
1ahs,B,P36325,?
1ahs,C,P36325,?
1aht,H,P00734,3.4.21.5
1aht,I,P01050,?
1aht,L,P00734,3.4.21.5
1ahu,A,P56216,1.1.3.38
1ahu,B,P56216,1.1.3.38
1ahv,A,P56216,1.1.3.38
1ahv,B,P56216,1.1.3.38
1ahw,A,P01837,?
1ahw,B,X5J519,?
1ahw,C,P13726,?
1ahw,D,P01837,?
1ahw,E,X5J519,?
1ahw,F,P13726,?
1ahx,A,P00509,2.6.1.1
1ahx,B,P00509,2.6.1.1
1ahy,A,P00509,2.6.1.1
1ahy,B,P00509,2.6.1.1
1ahz,A,P56216,1.1.3.38
1ahz,B,P56216,1.1.3.38
1ai0,A,P01308,?
1ai0,B,P01308,?
1ai0,C,P01308,?
1ai0,D,P01308,?
1ai0,E,P01308,?
1ai0,F,P01308,?
1ai0,G,P01308,?
1ai0,H,P01308,?
1ai0,I,P01308,?
1ai0,J,P01308,?
1ai0,K,P01308,?
1ai0,L,P01308,?
1ai1,H,P01868,?
1ai1,L,P01837,?
1ai1,P,P05877,?
1ai2,A,P08200,1.1.1.42
1ai3,A,P08200,1.1.1.42
1ai4,A,P06875,3.5.1.11
1ai4,B,P06875,3.5.1.11
1ai5,A,P06875,3.5.1.11
1ai5,B,P06875,3.5.1.11
1ai6,A,P06875,3.5.1.11
1ai6,B,P06875,3.5.1.11
1ai7,A,P06875,3.5.1.11
1ai7,B,P06875,3.5.1.11
1ai8,H,P00734,3.4.21.5
1ai8,I,P01050,3.4.21.5
1ai8,L,P00734,3.4.21.5
1ai9,A,P22906,1.5.1.3
1ai9,B,P22906,1.5.1.3
1aia,A,P00509,2.6.1.1
1aia,B,P00509,2.6.1.1
1aib,A,P00509,2.6.1.1
1aib,B,P00509,2.6.1.1
1aic,A,P00509,2.6.1.1
1aic,B,P00509,2.6.1.1
1aid,A,P03369,2.7.7.-
1aid,A,P03369,2.7.7.49
1aid,A,P03369,2.7.7.7
1aid,A,P03369,3.1.-.-
1aid,A,P03369,3.1.13.2
1aid,A,P03369,3.1.26.13
1aid,A,P03369,3.4.23.16
1aid,B,P03369,2.7.7.-
1aid,B,P03369,2.7.7.49
1aid,B,P03369,2.7.7.7
1aid,B,P03369,3.1.-.-
1aid,B,P03369,3.1.13.2
1aid,B,P03369,3.1.26.13
1aid,B,P03369,3.4.23.16
1aie,A,P04637,?
1aif,A,P01837,?
1aif,L,P01837,?
1aig,H,P0C0Y7,?
1aig,L,P0C0Y8,?
1aig,M,P0C0Y9,?
1aig,N,P0C0Y8,?
1aig,O,P0C0Y9,?
1aig,P,P0C0Y7,?
1aih,A,P21442,2.7.7.-
1aih,A,P21442,3.1.-.-
1aih,B,P21442,2.7.7.-
1aih,B,P21442,3.1.-.-
1aih,C,P21442,2.7.7.-
1aih,C,P21442,3.1.-.-
1aih,D,P21442,2.7.7.-
1aih,D,P21442,3.1.-.-
1aii,A,P12429,?
1aij,H,P0C0Y7,?
1aij,L,P0C0Y8,?
1aij,M,P0C0Y9,?
1aij,R,P0C0Y8,?
1aij,S,P0C0Y9,?
1aij,T,P0C0Y7,?
1aik,C,P04578,?
1aik,N,P04578,?
1ail,A,P03495,?
1aim,A,P25779,3.4.22.51
1ain,A,P04083,?
1aip,A,P60338,?
1aip,B,P60338,?
1aip,C,P43895,?
1aip,D,P43895,?
1aip,E,P60338,?
1aip,F,P60338,?
1aip,G,P43895,?
1aip,H,P43895,?
1aiq,A,P0A884,2.1.1.45
1aiq,B,P0A884,2.1.1.45
1air,A,P11073,4.2.2.2
1ais,A,P62001,?
1ais,B,P61999,?
1aiu,A,P10599,?
1aiv,A,P02789,?
1aiw,A,P07103,3.2.1.4
1aix,H,P00734,3.4.21.5
1aix,I,P28507,?
1aix,L,P00734,3.4.21.5
1aiy,A,P01308,?
1aiy,B,P01308,?
1aiy,C,P01308,?
1aiy,D,P01308,?
1aiy,E,P01308,?
1aiy,F,P01308,?
1aiy,G,P01308,?
1aiy,H,P01308,?
1aiy,I,P01308,?
1aiy,J,P01308,?
1aiy,K,P01308,?
1aiy,L,P01308,?
1aiz,A,P00280,?
1aiz,B,P00280,?
1aj0,A,P0AC13,2.5.1.15
1aj1,A,P56650,?
1aj2,A,P0AC13,2.5.1.15
1aj3,A,P07751,?
1aj4,A,P09860,?
1aj5,A,Q64537,?
1aj5,B,Q64537,?
1aj6,A,P0AES6,5.6.2.2
1aj7,H,P01857,?
1aj8,A,Q53554,2.3.3.16
1aj8,B,Q53554,2.3.3.16
1aj9,A,P69905,?
1aj9,B,P68871,?
1aja,A,P00634,3.1.3.1
1aja,B,P00634,3.1.3.1
1ajb,A,P00634,3.1.3.1
1ajb,B,P00634,3.1.3.1
1ajc,A,P00634,3.1.3.1
1ajc,B,P00634,3.1.3.1
1ajd,A,P00634,3.1.3.1
1ajd,B,P00634,3.1.3.1
1aje,A,P60953,3.6.5.2
1ajg,A,P02185,?
1ajh,A,P02185,?
1ajj,A,P01130,?
1ajk,A,P23904,3.2.1.73
1ajk,B,P23904,3.2.1.73
1ajm,A,P0A884,2.1.1.45
1ajn,A,P06875,3.5.1.11
1ajn,B,P06875,3.5.1.11
1ajo,A,P23904,3.2.1.73
1ajo,B,P23904,3.2.1.73
1ajp,A,P06875,3.5.1.11
1ajp,B,P06875,3.5.1.11
1ajq,A,P06875,3.5.1.11
1ajq,B,P06875,3.5.1.11
1ajr,A,P00503,2.6.1.1
1ajr,A,P00503,2.6.1.3
1ajr,B,P00503,2.6.1.1
1ajr,B,P00503,2.6.1.3
1ajs,A,P00503,2.6.1.1
1ajs,A,P00503,2.6.1.3
1ajs,B,P00503,2.6.1.1
1ajs,B,P00503,2.6.1.3
1ajv,A,P03366,2.7.7.-
1ajv,A,P03366,2.7.7.49
1ajv,A,P03366,2.7.7.7
1ajv,A,P03366,3.1.-.-
1ajv,A,P03366,3.1.13.2
1ajv,A,P03366,3.1.26.13
1ajv,A,P03366,3.4.23.16
1ajv,B,P03366,2.7.7.-
1ajv,B,P03366,2.7.7.49
1ajv,B,P03366,2.7.7.7
1ajv,B,P03366,3.1.-.-
1ajv,B,P03366,3.1.13.2
1ajv,B,P03366,3.1.26.13
1ajv,B,P03366,3.4.23.16
1ajw,A,P19803,?
1ajx,A,P03366,2.7.7.-
1ajx,A,P03366,2.7.7.49
1ajx,A,P03366,2.7.7.7
1ajx,A,P03366,3.1.-.-
1ajx,A,P03366,3.1.13.2
1ajx,A,P03366,3.1.26.13
1ajx,A,P03366,3.4.23.16
1ajx,B,P03366,2.7.7.-
1ajx,B,P03366,2.7.7.49
1ajx,B,P03366,2.7.7.7
1ajx,B,P03366,3.1.-.-
1ajx,B,P03366,3.1.13.2
1ajx,B,P03366,3.1.26.13
1ajx,B,P03366,3.4.23.16
1ajy,A,P25502,?
1ajy,B,P25502,?
